Indicator,Value,Data,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
"Neonatal mortality rate (per 1,000 live births)",21,Percent ,2012,,IDHS,,All,All,All,Q2,All,All Indonesia,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",23,Percent ,2012,,IDHS,,All,All,All,Q3,All,All Indonesia,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",15,Percent ,2012,,IDHS,,All,All,All,Q4,All,All Indonesia,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",10,Percent ,2012,,IDHS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",31,Percent ,2012,,IDHS,,All,All,All,All,No school,All Indonesia,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",37,Percent ,2012,,IDHS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",24,Percent ,2012,,IDHS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",15,Percent ,2012,,IDHS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",16,Percent ,2012,,IDHS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",10,Percent ,2012,,IDHS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",28,Percent ,2012,,IDHS,,All,All,All,All,All,Aceh,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",26,Percent ,2012,,IDHS,,All,All,All,All,All,Sumatera Utara,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",17,Percent ,2012,,IDHS,,All,All,All,All,All,Sumatera Barat,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",15,Percent ,2012,,IDHS,,All,All,All,All,All,Riau,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",16,Percent ,2012,,IDHS,,All,All,All,All,All,Jambi,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",20,Percent ,2012,,IDHS,,All,All,All,All,All,Sumatera Selatan,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",21,Percent ,2012,,IDHS,,All,All,All,All,All,Bengkulu,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",20,Percent ,2012,,IDHS,,All,All,All,All,All,Lampung,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",20,Percent ,2012,,IDHS,,All,All,All,All,All,Kepulauan Bangka Belitung,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",21,Percent ,2012,,IDHS,,All,All,All,All,All,Kepulauan Riau,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",15,Percent ,2012,,IDHS,,All,All,All,All,All,DKI Jakarta,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",17,Percent ,2012,,IDHS,,All,All,All,All,All,Jawa Barat,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",22,Percent ,2012,,IDHS,,All,All,All,All,All,Jawa Tengah,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",18,Percent ,2012,,IDHS,,All,All,All,All,All,DI Yogyakarta,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",14,Percent ,2012,,IDHS,,All,All,All,All,All,Jawa Timur,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",23,Percent ,2012,,IDHS,,All,All,All,All,All,Banten,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",18,Percent ,2012,,IDHS,,All,All,All,All,All,Bali,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",33,Percent ,2012,,IDHS,,All,All,All,All,All,Nusa Tenggara Barat,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",26,Percent ,2012,,IDHS,,All,All,All,All,All,Nusa Tenggara Timur,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",18,Percent ,2012,,IDHS,,All,All,All,All,All,Kalimantan Barat,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",25,Percent ,2012,,IDHS,,All,All,All,All,All,Kalimantan Tengah,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",30,Percent ,2012,,IDHS,,All,All,All,All,All,Kalimantan Selatan,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",12,Percent ,2012,,IDHS,,All,All,All,All,All,Kalimantan Timur,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",12,Percent ,2012,,IDHS,,All,All,All,All,All,Kalimantan Utara,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",23,Percent ,2012,,IDHS,,All,All,All,All,All,Sulawesi Utara,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",26,Percent ,2012,,IDHS,,All,All,All,All,All,Sulawesi Tengah,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",13,Percent ,2012,,IDHS,,All,All,All,All,All,Sulawesi Selatan,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",25,Percent ,2012,,IDHS,,All,All,All,All,All,Sulawesi Tenggara,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",26,Percent ,2012,,IDHS,,All,All,All,All,All,Gorontalo,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",26,Percent ,2012,,IDHS,,All,All,All,All,All,Sulawesi Barat,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",24,Percent ,2012,,IDHS,,All,All,All,All,All,Maluku,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",37,Percent ,2012,,IDHS,,All,All,All,All,All,Maluku Utara,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",35,Percent ,2012,,IDHS,,All,All,All,All,All,Papua Barat,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",27,Percent ,2012,,IDHS,,All,All,All,All,All,Papua,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",16,Percent ,2012,,IDHS,,Female,All,All,All,All,All Indonesia,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",24,Percent ,2012,,IDHS,,Male,All,All,All,All,All Indonesia,,,3,,,,,,,,,,,,
"Number of new HIV infections (per 1,000 uninfected people)",0.1,Number,2015,,Documentation of Preliminary Modeling Update Work Undertaken to Provide Input into the Investment Case Analysis and the National HIV Strategic and Action Plan 2015-2019,,All,All,All,All,All,All Indonesia,,0-14 yrs,3,,,,,,,,,,,,
"Number of new HIV infections (per 1,000 uninfected people)",0.4,Number,2015,,Documentation of Preliminary Modeling Update Work Undertaken to Provide Input into the Investment Case Analysis and the National HIV Strategic and Action Plan 2015-2019,,All,All,All,All,All,All Indonesia,,15+ yrs,3,,,,,,,,,,,,
"Number of new HIV infections (per 1,000 uninfected people)",0.3,Number,2015,,Documentation of Preliminary Modeling Update Work Undertaken to Provide Input into the Investment Case Analysis and the National HIV Strategic and Action Plan 2015-2019,,All,All,All,All,All,All Indonesia,,All,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,49.3,Percent ,2015,,SUSENAS ,,All,All,All,All,All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,52.7,Percent ,2015,,SUSENAS ,,All,Urban,All,All,All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,46.1,Percent ,2015,,SUSENAS ,,All,Rural,All,All,All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,47.4,Percent ,2015,,SUSENAS ,,All,All,All,Q1 (poorest),All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,47.3,Percent ,2015,,SUSENAS ,,All,All,All,Q2,All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,49.5,Percent ,2015,,SUSENAS ,,All,All,All,Q3,All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,51.2,Percent ,2015,,SUSENAS ,,All,All,All,Q4,All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,53.2,Percent ,2015,,SUSENAS ,,All,All,All,Q5 (wealthiest),All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,43.1,Percent ,2015,,SUSENAS ,,All,All,All,All,No school,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,43.4,Percent ,2015,,SUSENAS ,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,49,Percent ,2015,,SUSENAS ,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,49.8,Percent ,2015,,SUSENAS ,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,51.6,Percent ,2015,,SUSENAS ,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,54.3,Percent ,2015,,SUSENAS ,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,34,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Aceh,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,34.9,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Utara,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,41.4,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Barat,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,41.5,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Riau,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,52.3,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Jambi,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,42,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Selatan,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,53.3,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Bengkulu,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,56.1,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Lampung,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,66.2,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Kepulauan Bangka Belitung,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,66.5,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Kepulauan Riau,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,46.6,Percent ,2015,,SUSENAS ,,All,All,All,All,All,DKI Jakarta,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,49.8,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Jawa Barat,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,61.8,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Jawa Tengah,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,57.1,Percent ,2015,,SUSENAS ,,All,All,All,All,All,DI Yogyakarta,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,54.1,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Jawa Timur,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,39.1,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Banten,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,71.4,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Bali,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,56.7,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Nusa Tenggara Barat,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,42.8,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Nusa Tenggara Timur,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,41.6,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Barat,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,42.8,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Tengah,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,59.5,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Selatan,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,53.7,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Timur,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,60.1,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Utara,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,49.6,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Utara,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,46.5,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Tengah,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,48.8,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Selatan,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,38.3,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Tenggara,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,55.1,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Gorontalo,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,41.6,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Barat,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,39.6,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Maluku,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,31.1,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Maluku Utara,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,29.2,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Papua Barat,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,30.5,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Papua,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,48.5,Percent ,2015,,SUSENAS ,,Female,All,All,All,All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received complete basic immunization,50.2,Percent ,2015,,SUSENAS ,,Male,All,All,All,All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,74.3,Percent ,2015,,SUSENAS ,,All,All,All,All,All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,78.4,Percent ,2015,,SUSENAS ,,All,Urban,All,All,All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,70.3,Percent ,2015,,SUSENAS ,,All,Rural,All,All,All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,71.9,Percent ,2015,,SUSENAS ,,All,All,All,Q1 (poorest),All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,71.1,Percent ,2015,,SUSENAS ,,All,All,All,Q2,All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,74.6,Percent ,2015,,SUSENAS ,,All,All,All,Q3,All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,75.4,Percent ,2015,,SUSENAS ,,All,All,All,Q4,All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,81.6,Percent ,2015,,SUSENAS ,,All,All,All,Q5 (wealthiest),All,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,65.9,Percent ,2015,,SUSENAS ,,All,All,All,All,No school,All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,68.1,Percent ,2015,,SUSENAS ,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,72,Percent ,2015,,SUSENAS ,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,74.4,Percent ,2015,,SUSENAS ,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,78.6,Percent ,2015,,SUSENAS ,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,81,Percent ,2015,,SUSENAS ,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,12-23 months,3,,,,,,,,,,,,
Percentage of children aged 12-23 months who received DPT3 vaccine,51.9,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Aceh,,12-23 months,3,,,,,,,,,,,,
